iter	Passed	Remaining
0	90	27010
1	134	20032
2	179	17779
3	223	16538
4	266	15721
5	270	13257
6	314	13148
7	357	13039
8	399	12921
9	417	12108
10	461	12126
11	504	12096
12	548	12108
13	593	12114
14	636	12085
15	680	12085
16	724	12064
17	770	12073
18	816	12079
19	860	12048
20	904	12013
21	948	11990
22	993	11962
23	1037	11936
24	1081	11893
25	1125	11859
26	1169	11826
27	1213	11787
28	1256	11743
29	1300	11700
30	1344	11662
31	1387	11623
32	1429	11567
33	1473	11527
34	1521	11522
35	1568	11505
36	1612	11461
37	1655	11413
38	1697	11360
39	1741	11322
40	1786	11288
41	1829	11239
42	1876	11214
43	1922	11187
44	1967	11151
45	2012	11113
46	2057	11076
47	2100	11026
48	2142	10976
49	2186	10931
50	2228	10877
51	2271	10835
52	2315	10789
53	2357	10738
54	2400	10692
55	2443	10645
56	2486	10598
57	2527	10545
58	2571	10502
59	2614	10458
60	2658	10414
61	2701	10368
62	2744	10325
63	2788	10280
64	2834	10248
65	2878	10205
66	2923	10166
67	2965	10117
68	3008	10072
69	3053	10033
70	3095	9982
71	3138	9937
72	3182	9896
73	3224	9848
74	3268	9804
75	3312	9763
76	3355	9718
77	3396	9665
78	3439	9622
79	3482	9578
80	3525	9533
81	3567	9483
82	3609	9435
83	3651	9390
84	3695	9348
85	3741	9311
86	3785	9267
87	3829	9225
88	3870	9176
89	3913	9131
90	3954	9081
91	3996	9034
92	4040	8994
93	4047	8870
94	4090	8827
95	4133	8783
96	4177	8743
97	4220	8698
98	4262	8655
99	4307	8614
100	4349	8570
101	4391	8524
102	4436	8485
103	4484	8452
104	4527	8409
105	4572	8369
106	4615	8324
107	4657	8279
108	4700	8236
109	4743	8193
110	4785	8148
111	4829	8106
112	4872	8062
113	4917	8023
114	4961	7981
115	5004	7938
116	5048	7896
117	5089	7850
118	5132	7806
119	5175	7762
120	5220	7722
121	5264	7680
122	5306	7636
123	5349	7592
124	5391	7548
125	5435	7505
126	5479	7464
127	5520	7418
128	5566	7378
129	5607	7332
130	5649	7288
131	5691	7243
132	5693	7148
133	5736	7106
134	5779	7063
135	5780	6970
136	5825	6930
137	5879	6901
138	5939	6879
139	5991	6847
140	6041	6812
141	6089	6775
142	6131	6732
143	6174	6689
144	6216	6644
145	6258	6600
146	6303	6560
147	6345	6517
148	6388	6474
149	6430	6430
150	6474	6388
151	6513	6342
152	6559	6302
153	6607	6264
154	6648	6219
155	6696	6181
156	6751	6149
157	6815	6124
158	6866	6089
159	6921	6056
160	6966	6014
161	7009	5971
162	7051	5926
163	7095	5883
164	7138	5840
165	7181	5796
166	7224	5753
167	7268	5710
168	7310	5666
169	7358	5626
170	7407	5587
171	7448	5542
172	7491	5499
173	7533	5455
174	7576	5411
175	7618	5367
176	7661	5324
177	7708	5283
178	7754	5242
179	7799	5199
180	7844	5157
181	7893	5117
182	7940	5076
183	7989	5036
184	8033	4993
185	8083	4954
186	8131	4913
187	8182	4874
188	8226	4831
189	8271	4788
190	8314	4745
191	8356	4700
192	8399	4656
193	8442	4612
194	8483	4568
195	8526	4524
196	8570	4480
197	8610	4435
198	8653	4391
199	8697	4348
200	8742	4305
201	8791	4265
202	8843	4225
203	8902	4189
204	8953	4149
205	9005	4109
206	9051	4066
207	9096	4023
208	9140	3979
209	9182	3935
210	9226	3891
211	9270	3847
212	9311	3803
213	9354	3759
214	9399	3716
215	9439	3670
216	9480	3626
217	9525	3582
218	9568	3539
219	9610	3494
220	9654	3451
221	9697	3407
222	9739	3362
223	9780	3318
224	9824	3274
225	9866	3230
226	9907	3186
227	9948	3141
228	9989	3097
229	10033	3053
230	10074	3009
231	10117	2965
232	10160	2921
233	10203	2877
234	10244	2833
235	10289	2790
236	10331	2746
237	10374	2702
238	10416	2658
239	10458	2614
240	10503	2571
241	10546	2527
242	10591	2484
243	10635	2441
244	10675	2396
245	10720	2353
246	10762	2309
247	10803	2265
248	10844	2221
249	10886	2177
250	10929	2133
251	10969	2089
252	11011	2045
253	11055	2002
254	11098	1958
255	11140	1914
256	11183	1871
257	11227	1827
258	11268	1783
259	11310	1740
260	11355	1696
261	11397	1653
262	11438	1609
263	11483	1565
264	11526	1522
265	11566	1478
266	11608	1434
267	11652	1391
268	11695	1347
269	11735	1303
270	11775	1260
271	11818	1216
272	11863	1173
273	11905	1129
274	11947	1086
275	11989	1042
276	12032	999
277	12073	955
278	12116	912
279	12160	868
280	12201	825
281	12243	781
282	12287	738
283	12329	694
284	12370	651
285	12413	607
286	12456	564
287	12499	520
288	12541	477
289	12583	433
290	12627	390
291	12673	347
292	12720	303
293	12763	260
294	12803	217
295	12846	173
296	12889	130
297	12932	86
298	12973	43
299	13015	0
